,price,S(m2),bedrooms,WCs,Address,Direction,news_code,date,content,title,link
421,"
														165 triệu														/tháng													",3000,,,,, 26993, 12:33 20/02/2022,"Cho Thuê Kho KCN Hoà Cầm, Hoà Khánh , Liên Chiểu.
Kho 600 m2 giá 50k có PCCC
Kho 640m2 giá 30tr
Kho 800m2 giá 60k
Kho 1200m2 giá 45k
Kho 5000m2 giá 65k
Kho 3000m2 giá 55k có pccc cơ bản
Có khuôn viên.
Lh 0935 045 099",Cho Thuê 3000 m2 Kho Khu Công Nghiệp Hoà Khánh,https://batdongsan.vn/cho-thue-3000-m2-kho-khu-cong-nghiep-hoa-khanh-r26993
422,"
														80 triệu														/tháng													",400,,," Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",, 59957, 23:56 28/02/2022,"Cho thuê nhà làm showroom, văn phòng, 600m2 sử dụng, khu Thảo điền, quận 2 
- DT: Ngang 15m x dài 250m - Kết cấu: 1 trệt, 3 tầng. 
- Nhà còn mới, kết cấu xây dựng vững chắc. 
- Nhà được thiết kế xuyên suốt, rất tiện cho khách hàng về decor, sửa chữa... Phù hợp với ngành nghề kinh doanh của mình. 
- Giá thuê: 80 triệu/ tháng ( tầng trệt + tầng 1) 
Có thương lượng cho khách thiện chí thuê nhanh. 
LH a Tường 0989793399","Cho thuê nhà làm showroom, văn phòng, 600m2 sử dụng q2, khu Thảo điền, quận 2-0989793399",https://batdongsan.vn/cho-thue-nha-lam-showroom-van-phong-600m2-su-dung-q2-khu-thao-dien-quan-2-0989793399-r59957
423,"
														30 triệu														/tháng													",100,,," Dự án Lakeview City, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",, 72448, 01:02 07/03/2022,"Cho thuê Shophouse mặt đường lớn vị trí ở và kinh doanh thuận lợi nhà mới nội thất đẹp có thang máy, DT 5x20m XD 1 trệt 1 lửng 3 lầu, sàn sử dụng rộng lớn thoáng mát lên tới 337m2, vị trí để xe rộng rãi khu an ninh và yên tĩnh Lh ngay e. Thu 0902872670 xem nhà thực tế và tư vấn chọn căn tốt nhất cho anh chị. 

- Vị trí giao thông thuận lợi xe ô tô để thoải mái. 
- Giá thuê chỉ 30tr/th bao phí quản lý, nhà mới nội thất đẹp. 
- Khu an ninh có bảo vệ chốt riêng từng cổng 24/24. 
- Môi trường sống xanh, tiện ích hiện hữu tại khu đầy đủ. 

- Cam kết giá đúng và tốt nhất tại khu Lh 0902872670 em Thu xem nhà thực tế tại và tham quan khu Lakeview City cảm nhận một nơi đáng sống đẳng cấp yên bình an ninh và thân thiện. 
Trân trọng.",Cho thuê shophouse Lakeview City 5x20m 1 trệt 1 lửng 3 lầu có thang máy giá 30 - 35tr LH 0902872670,https://batdongsan.vn/cho-thue-shophouse-lakeview-city-5x20m-1-tret-1-lung-3-lau-co-thang-may-gia-30-35tr-lh-0902872670-r72448
424,"
														18 tỷ																											",304,5,6,,, 81333, 17:42 23/04/2022,"+ Diện tích sử dụng: 304m2. 
+ Kết cấu: 1 trệt, 3 lầu, sân thượng, 5 PN, 6 WC. 
+ Nhà mới được xây kiến trúc kiên cố, mặt bằng ở vị trí siêu đắc địa, cực thích hợp cho việc đầu tư kinh doanh mở văn phòng có khả năng sinh lời cao hoặc định cư lâu dài. 
+ Nhà nằm trên một trong những con đường đắt giá với mật độ kinh doanh bậc nhất ở khu vực Quận Phú Nhuận. Nhà nằm giữa trục đường Nguyễn Kiệm - đường Hoàng Văn Thụ - Gần đường Đào Duy Anh.
+ Xe hơi ngủ trong nhà. 
+ Cách công viên Gia Định 2p đi xe, cách sân bay 5p. 
+ Gần siêu thị, chợ, trường học, bệnh viện: Coop Mart Nguyễn Kiệm, Chợ Nguyễn Đình Chiểu, công viên Gia Định, bệnh viện, trường học, shop quần áo, Café...

Nhà siêu đẹp tìm khách hữu duyên .....
Liên hệ:
Mạnh Cường 
0855 633 689","Mặt Tiền Hồ Văn Huê Phường 9 Phú Nhuận chỉ 10m (Gần Nguyễn Kiệm, Hoàng Văn Thụ, Đào Duy Anh); DTSD: 304m2; Giá chỉ 18 tỷ xx (xx tý hon); Liên hệ: 0855 633 689",https://batdongsan.vn/mat-tien-ho-van-hue-phuong-9-phu-nhuan-chi-10m-gan-nguyen-kiem-hoang-van-thu-dao-duy-anh-dtsd-304m2-gia-chi-18-ty-xx-xx-ty-hon-lien-he-0855-633-689-r81333
425,"
														4 triệu														/tháng													",56,2,2," Dự án Samsora Riverside, Đường Xa Lộ Hà Nội, Phường Bình Thắng, Dĩ An, Bình Dương",, 77843, 19:00 09/03/2022,"Hiện tại đang có 1 căn cho thuê giá tốt 4 tr/thang, sẵn tủ lạnh. 

Cho thuê căn hộ Samsora Riverside. 

1PN +: 3tr/tháng. 
2PN: 4tr/tháng. 
- Liên hệ: 0906.091.339 Ms. Linh. 

Khu vực: Cho thuê căn hộ chung cư tại Samsora Riverside - thị xã Dĩ An - Bình Dương. 
Đa dạng diện tích, thiết kế thông minh, tiện ích. 
Tiện ích đầy đủ: Hồ bơi, phòng tập gym, spa, cafe, trường mầm non,... 
Căn hộ mới 100%, có thể trang bị thêm nội thất theo yêu cầu khách thuê. Ký hợp đồng dài hạn. 
Vui lòng liên hệ: 0906.091.339 Ms. Linh (Call, Zalo).","Cho thuê Samsora Riverside 2PN riêng biệt, 2WC, giá chỉ 4 tr/th",https://batdongsan.vn/cho-thue-samsora-riverside-2pn-rieng-biet-2wc-gia-chi-4-trth-r77843
426,"
														12 triệu														/tháng													",200,,,, Tây-Nam, 48663, 14:08 23/02/2022,"Cho thuê đất khu Cotec- Phú Xuân Nhà Bè lô góc 2 mặt tiền.
Diện tích 10x20, hướng Tây Nam
Khu vực dân cư đông đúc tiện kinh doanh
Giá 12 triệu/tháng",Cho thuê đất 2 tiền khu Cotec- Phú Xuân,https://batdongsan.vn/cho-thue-dat-2-tien-khu-cotec-phu-xuan-r48663
427,"
														7 triệu														/tháng													",68,2,2," Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",, 77553, 16:55 09/03/2022,"Cho thuê gấp căn hộ safia Khang Điền 1PN 2PN 3 PN: 
Chi tiết: 
+ 1PN Full nội thất đẹp 5 sao giá thuê 8.5 triệu. 
+ 2PN nội thất cơ bản kệ bếp, rèm, máy lạnh giá thuê 7 triệu. 
+ 3PN nội thất kệ bếp giá thuê 8 triệu. 
+ 3PN nội thất kệ bếp, rèm, hút mùi, sofa giá thuê 8.5 triệu. 
Liên hệ xem căn hộ 0936 036 685 Diệu.","Cho thuê gấp căn hộ Safira Khang Điền, 2PN 7tr, 3PN 8tr",https://batdongsan.vn/cho-thue-gap-can-ho-safira-khang-dien-2pn-7tr-3pn-8tr-r77553
428,"
														18 tỷ																											",1757,5,5," Xã Phước Đồng, Nha Trang, Khánh Hòa",, 77166, 12:17 09/03/2022,"Chính chủ kẹt tiền bán cắt lỗ biệt thự sân vườn diện tích hơn 1700m2 tại Phước Đồng với giá chỉ 18 tỷ. 

- Toàn bộ đất thổ cư. 
- Có 5 phòng ngủ mỗi phòng rộng gần 70 - 80m2. 
- Diện tích xây dựng hơn 1000m2 (gồm villa 2 tầng một tầng 300m2, thêm nhà phía ngoài + gara. 
- Hệ thống máy lạnh âm trần. 
- Thiết bị vệ sinh hàng cao cấp, phòng tắm gương, 
- Hồ bơi dài hơn 15m có bể sục jacuzzi. 
- Lối đi riêng biệt rộng hơn 4m xe ô tô chạy vô tư. 
- Khu vực biệt lập, cao ráo view nhìn xuống toàn cảnh thành phố. 
- Xây gần hoàn thiện chưa sử dụng. 

Liên hệ ngay: 0357641428 (Hoàng Anh) để nhận được định vị căn biệt thự đó ngay và luôn.",Bán cắt lỗ căn biệt thự sân vườn diện tích hơn 1700m2 với giá chỉ 18 tỷ,https://batdongsan.vn/ban-cat-lo-can-biet-thu-san-vuon-dien-tich-hon-1700m2-voi-gia-chi-18-ty-r77166
429,"
														450 nghìn														/tháng													",200,,," Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh",, 76894, 10:15 09/03/2022,"- Cho thuê văn phòng quận 1. Tòa nhà Saigon Finance Center, tòa lạc trên đường Đinh Tiên Hoàng, P. Đa Kao, quận 1, cho thuê mặt bằng tầng trệt có thể làm văn phòng hoặc showroom và các diện tích văn phòng các tầng khác. 

- Quy mô tòa nhà: 1 hầm - 12 tầng - 3 thang máy. 
- Diện tích cho thuê: 132m2 - 200m2 - 300m2 - 400m2 - 500m2 - 600m2 - 800m2. 
- Giá thuê: 450.000 VND/m2. 

Tiện ích tòa nhà: 
- Miễn phí sử dụng máy lạnh. 
- Hệ thống máy lạnh trung tâm. 
- Hệ thống chiếu sáng tiêu chuẩn. 
- Thang máy hiện đại - tốc độ cao. 
- Máy phát điện dự phòng. 
- PCCC tiêu chuẩn. 
- Tầng hầm để xe diện tích lớn. 
- Hệ thống điện thoại, internet băng thông rộng, tốc độ cao, liên kết với tất cả các nhà mạng. 
- Hệ thống an ninh 24/24 với hệ thống camera giám sát. 

Lưu ý: giá thuê và diện tích có thể thay đổi theo thời gian. 

- Hotline: 0935.619.793 - 0906.391.898. Mr Quốc 

Công ty CPĐT BĐS Vietland 
Địa chỉ: số 09 Phan Kế Bính, F. Đakao, Quận 1","Cho thuê văn phòng Saigon Finance đường Đinh Tiên Hoàng, quận 1. LH: 0935.619.793 - 0906.391.898",https://batdongsan.vn/cho-thue-van-phong-saigon-finance-duong-dinh-tien-hoang-quan-1-lh-0935619793-0906391898-r76894
430,"
														18 triệu														/tháng													",85,8,5," Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",, 77354, 14:31 09/03/2022,"Zalo: 0358189260. 
0949783225. 

Cho thuê nhà LK KĐT Văn Quán - Nguyễn Khuyến, Hà Đông. 
- DT 85m2, thiết kế 5 tầng, mặt tiền 5m. 
- Thiết kế tầng 1 thông sàn, các tầng trên chia 2 phòng. Cầu thang + vệ sinh giữa. 
- Nhà mới sơn sửa lại sạch sẽ. 
- Phù hợp tòa nhà văn phòng công ty, ở hộ gia đình, kinh doanh online, kho hàng, trung tâm đào tạo, lớp học... Cùng các mô hình khác. 
- Giá thuê: 18 triệu/tháng. 
- Liên hệ ngay Mr Việt 24/24: 
Zalo: 0358189260. 
0949783225. 

* Ngoài ra tôi còn nhiều nhà trong khu vực với các mức giá dao động từ: 15tr, 20tr, 25tr, 30tr, 50tr đến 100tr. Khu vực nào cũng có nhà, giá cả phù hợp nhất.","Cho thuê nhà riêng phố Nguyễn Khuyến - Văn Quán, Hà Đông. DT 85m2, 5 tầng, nhà mới sơn, ô tô đỗ",https://batdongsan.vn/cho-thue-nha-rieng-pho-nguyen-khuyen-van-quan-ha-dong-dt-85m2-5-tang-nha-moi-son-o-to-do-r77354
431,,,,,,,,,"BATDONGSAN.VN
Batdongsan.vn là Website thuộc sở hữu của Công ty Cổ phần Đầu tư Tiếp thị Bất động sản Việt Nam (Batdongsan.vn.,JSC), thành lập ngày 14/10/2015, Mã số Doanh nghiệp 0107025430 và trụ sở tại Số 14 Villa D, The Manor, Khu đô thị mới Mỹ Đình Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội.",,https://batdongsan.vn/haiduyen94-173768
432,"
														25 triệu														/tháng													",175,,,, Bắc, 11988, 17:51 18/02/2022,"MẶT TIỀN ĐƯỜNG TRẦN XUÂN SOẠN VỊ TRÍ KDBB SẦM UẤT Q7
- DT: 6.5x27m, hướng Bắc
- Cấu trúc: nhà cấp 4
- View sông, vỉa hè rộng, ngay TTQ7, KD sầm uất
- Vị trí lý tưởng kinh doanh buôn bán đa ngành nghề
- Tiện ích: Gần chung cư HAGL, UBND, Lottemart, các trường ĐH lớn,....
- Pháp lý: SH riêng
- Gía: 25tr/Th",cho thuê Mặt tiền đường Trần xuân soạn,https://batdongsan.vn/cho-thue-mat-tien-duong-tran-xuan-soan-r11988
433,"
														32 triệu														/tháng													",130,,," Bình Thạnh, Hồ Chí Minh",, 77439, 15:22 09/03/2022,"cần cho thuê văn phòng giá rẻ tại đường Nguyễn Văn Thương, Bình thạnh 

Diện tích: 
130m2 giá 32 triệu 
115m2 giá 31,5 triệu 
55m2 giá 16,5 triệu 
53m2 giá 14,6 triệu 
(giá thuê đã bao gồm thuế, phí ql), giá có thương lượng 

Thông tin tòa nhà: 
Vị trí: gần ngã tư Nguyễn Văn thương, Ung Văn khiêm 
quy mô"" 1 hầm, 1 trệt, 9 tầng 
diện tích sàn"" 300m2/sàn 

Xe hơi đậu trước nhà, hầm xe rộng, 
hệ thông phòng cháy đầy đủ 
làm việc ngoài giờ không tính phí 
bên cạnh quán cơm, cà phê ... 

Mọi chi tiết liên hệ : ĐỨC 0369735939",cho thuê văn phòng đường Nguyễn Văn Thương giá rẻ 130m2/32 triệu LH 0369735939,https://batdongsan.vn/cho-thue-van-phong-duong-nguyen-van-thuong-gia-re-130m232-trieu-lh-0369735939-r77439
434,"
														3.6 tỷ														/tháng													",34,4,3,,, 79799, 15:59 19/04/2022,"Chuyển công tác vợ chồng tôi muốn bán nhanh căn nhà ở được 3 năm thiết kế hiện đại, có bản vẽ kĩ thuật và giấy phép xây dựng đầy đủ.
Dt: 34m2, mặt tiền: 4m. 
Chỉ 20m ra đường ô tô tránh qua đường là Viện Bỏng Quốc Gia, bệnh viện Quân Y 103. Hàng xóm đều là bác sĩ, y tá bv Quân Y, khu vực yên tĩnh, văn minh.
Thiết kế: 
+ Tầng 1: khách+ bếp+ vs
+ Tầng 2+ 3+ 4: mỗi tầng 1 phòng ngủ rộng+ vs
+ Tầng 5: phòng thờ+ sân phơi 
Nội thất: cửa 2 lớp( ngoài cửa Inox trong của gỗ), tủ bếp Gỗ Sồi Nga, cửa thông phòng, cầu thang 100% làm bằng gỗ Lim Nam Phi, sàn gỗ, trần thạch cao, thiết bị vệ sinh cao cấp, hệ thống đèn thông minh tiết kiệm điện. 
Vị trí:  50m ra đến Bệnh Viện 103, Viện Bỏng Quốc Gia, HV Quân Y nhà ngay cạnh chợ dân sinh, trường mầm non, tiểu học gần nhà. Tiện ích đầy đủ.
Giá 3.6 tỷ có thương lượng
Sổ đỏ chính chủ, pháp lý rõ ràng
Hỗ trợ vay vốn ngân hàng khi khách có nhu cầu.
Liên hệ em Liên 0972759134 để tư vấn và xem nhà miễn phí.","Tập thể Xa La, Hà Đông dt 34m2x5t, đối diện viện Bỏng Quốc Gia. Giá 3.6 tỷ. LH: 0972759134",https://batdongsan.vn/tap-the-xa-la-ha-dong-dt-34m2x5t-doi-dien-vien-bong-quoc-gia-gia-36-ty-lh-0972759134-r79799
435,"
														Thỏa thuận																											",100,,," Dự án Liền kề Tổng cục 5 Tân Triều, Thanh Trì, Hà Nội",, 77562, 16:56 09/03/2022,"Chính chủ cho thuê toà nhà văn phòng 7 tầng, hơn 700m2 sàn xây dựng, thiết kế thông phòng, có thang máy, vị trí mặt đường Chu Văn An nối từ Nguyễn Xiển xuống Xa La, cạnh viện K Tân Triều, tiện cho làm phòng khám, trụ sở công ty lớn, căn góc thoáng mát & đỗ đc rất nhiều xe ô tô, hợp đồng dài hạn, giá thuê thỏa thuận. LH Mr Đan 0903244899.","Cho thuê toà nhà vp 7T, DT hơn 700m2 sàn, mặt đường Chu Văn An, sát viện K Tân Triều, HĐ dài hạn",https://batdongsan.vn/cho-thue-toa-nha-vp-7t-dt-hon-700m2-san-mat-duong-chu-van-an-sat-vien-k-tan-trieu-hd-dai-han-r77562
436,"
														35 triệu														/tháng													",100,,," Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",, 59955, 22:56 28/02/2022,"* Cho thuê nhà mặt tiền Nguyễn Văn Lượng, vị trí đẹp, căn góc hẻm. Diện tích 5m x 20m = 100 m2. Xây dựng 1 trệt, 4 lầu. DTXD: 396m2. Nhà hoàn thiện. 

* Nhà mặt tiền đường 30m, Nhà mặt tiền Phan Văn Trị, căn góc đối diện công viên quảng trường nhạc nước. DT 142 m2, Xây dựng 1 trệt, 4 lầu. DTXD: 555 m2. 

* Nhà phố diện tích 5m x 20m = 100m2. Xây dựng 1 trệt, 1 hầm, 3 lầu. DTXD: 371 m2. Cho thuê nhà hoàn thiện. Vị trí đẹp. Giá thuê 35 triệu/tháng. 

* Các căn shophouse diện tích từ 50 m2 - 250 m2. Giá thuê từ 22 triệu/tháng. 

* Quý khách vui lòng liên hệ Phòng kinh doanh chủ đầu tư Cityland để được tư vấn thông tin chính xác và chọn được những căn nhà giá tốt nhất. 
Hotline: 0933666779 - Thanh Trí. 
Thông tin chi tiết tại website: http://www.nhacityland.com","Cho thuê nhà mặt tiền, nhà phố thương mại KDC Cityland Park Hills, giá tốt nhất, LH: 0933666779",https://batdongsan.vn/cho-thue-nha-mat-tien-nha-pho-thuong-mai-kdc-cityland-park-hills-gia-tot-nhat-lh-0933666779-r59955
437,"
														Thỏa thuận																											",120,,," Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",, 77123, 12:16 09/03/2022,"Cho thuê sàn văn phòng nhiều diện tích phố Hoàng Quốc Việt, Cầu Giấy, Hà Nội. 
- DT từ: 120 - 180 - 400m2. 
- Tòa nhà được thiết kế làm văn phòng, hiện đại, sang trọng, chỗ để xe máy, ô tô thuận tiện. 
- Khu vực tập trung nhiều văn phòng, 
- Quý khách có nhu cầu thuê văn phòng tại Cầu Giấy, vui lòng liên hệ cho công ty chúng tôi. Chúng tôi hoàn toàn miễn phí cho khách thuê nhà. Với nguồn thông tin đa dạng, chúng tôi sẽ mang đến cho quý khách hàng sự lựa chọn tốt nhất. 
- Vui lòng liên hệ: A Tuấn 0889.012.800.","Cho thuê sàn văn phòng 120m2 - 180m2 - 400m2 phố Hoàng Quốc Việt, Cầu Giấy, Hà Nội",https://batdongsan.vn/cho-thue-san-van-phong-120m2-180m2-400m2-pho-hoang-quoc-viet-cau-giay-ha-noi-r77123
438,"
														3.2 tỷ																											",42,1,1,,, 81187, 19:58 24/04/2022,"ĐÓN SÓNG ĐẦU TƯ - KHÁNH HÒA LÊN ĐÔ THỊ TRUNG ƯƠNG
 ♻️ ♻️ ♻️QUỸ ĐẤT CUỐI CÙNG TRÊN CUNG ĐƯỜNG BIỂN TRẦN PHÚ - TP NHA TRANG ♻️ ♻️ ♻️
???? ???? ???? Đây là dự án căn hộ ở, được cấp sổ hồng, sở hữu lâu dài 
⚡ Lợi nhuận cam kết lên đến 250 triệu – Nhận ngay khi đầu tư!!! 
⚡ Sở hữu 3 View đẹp nhất: ” View biển Nha Trang, Sông Cái và Trung tâm thành phố” 
⚡ Chương trình THANH TOÁN ĐẶC BIỆT nhất từ trước tới nay: 
⚡ Chiết khấu lên đến 14% 
????????????THE ASTON - LUXURY RESIDENCE ????????????
???? Vị trí: Giao điểm giữa đường Trần Phú và đường Xóm Cồn (Là tuyến đường được quy hoạch thành Phố đi bộ ẩm thực phát triển kinh tế đêm) 
???? 100m mặt biển, 250m mặt tiền sông Cái 
???? Thiết kế độc đáo, biểu tượng mới của Tp Nha Trang 
???? Bàn giao nội thất nhập khẩu 5 sao 
???? Căn hộ thông minh Smart Home 
???? Đồng hành với các thương hiệu hàng đầu cùng tạo nên dự án: Central, DKO, Apave, Savills, Welham, Rita Võ, Vpbank, Pvcombank.. 
⚜️ ⚜️ ⚜️ Các loại diện tích căn hộ:
 - Căn studio: 36 - 44m2.
 - Căn hộ 1PN - 1WC: 46 - 51m2.
 - Căn hộ 2PN - 1WC: 53 - 63m2.
 - Căn hộ 2PN - 2WC: 65 - 79m2. 
- Căn hộ 3PN - 2WC: 99 - 126m2. 
- Sky Villas: 300m2, có hồ bơi riêng, giao thô. 
???? Nhận BOOKING 50TR/ suất và miễn phí 100% chi phí cho Quý Anh Chị đi xem thực tế dự án và căn hộ mẫu. ( không mua hoàn tiền lại 100%) 
???? Quý Anh Chị liên hệ ngay để được hỗ trợ và chia sẻ nhiều hơn về dự án nhé!
 ------------ 
The Aston Luxury Residence - Tầm nhìn thượng đỉnh trên vịnh Nha Trang 
???? Địa chỉ Show Gallery: Tầng 11 toà nhà Gold Coast, Số 1 Trần Hưng Đạo, P.Lộc Thọ, TP.Nha Trang",The Aston_Sự chọn lựa đón đầu xu hướng nghĩ dưỡng sau đại dịch,https://batdongsan.vn/the-aston-su-chon-lua-don-dau-xu-huong-nghi-duong-sau-dai-dich-r81187
439,"
														32 triệu														/tháng													",100,,,,, 80278, 15:18 21/04/2022,"Cho thuê nhà mặt tiền đường bà hom tuyến đường kinh doanh sầm uất
Diện tích 5x15, kết cấu 1 trệt 4 lầu 6 phòng, nhà đẹp mới tinh
Gía 32tr
Uư tiên những ngàng nghề kinh doanh sạch sẽ
H 0938925326
Cho thuê nhà mặt tiền đường bà hom tuyến đường kinh doanh sầm uất
Diện tích 5x15, kết cấu 1 trệt 4 lầu 6 phòng, nhà đẹp mới tinh
Gía 32tr
Uư tiên những ngàng nghề kinh doanh sạch sẽ
H 0938925326",Cho thuê nhà mặt tiền đường Bà hom,https://batdongsan.vn/cho-thue-nha-mat-tien-duong-ba-hom-r80278
440,"
														60 triệu														/tháng													",108,,," Dự án Vinhomes Grand Park quận 9, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",, 70728, 20:45 05/03/2022,"Chính Chủ cần cho thuê Shophouse T18 - 42 đối diện công viên 36ha cực kì đẹp thuận tiện kinh doanh và làm văn phòng. 

Diện tích: 108m2 (9x12m). 
Hướng: Nam - Tây Nam. 

Giá thuê: 60tr triệu/tháng (nguyên căn hoàn thiện cơ bản). 

Liên Hệ: 0936.287.508 (call, Zalo, Viber).",Cần Cho Thuê Gấp Shophouse 108m2 Nguyên Căn 5 Lầu T18 - 42 Đối Diện Công Viên 36ha - 0936.287.508,https://batdongsan.vn/can-cho-thue-gap-shophouse-108m2-nguyen-can-5-lau-t18-42-doi-dien-cong-vien-36ha-0936287508-r70728
441,,,,,,,,,"BATDONGSAN.VN
Batdongsan.vn là Website thuộc sở hữu của Công ty Cổ phần Đầu tư Tiếp thị Bất động sản Việt Nam (Batdongsan.vn.,JSC), thành lập ngày 14/10/2015, Mã số Doanh nghiệp 0107025430 và trụ sở tại Số 14 Villa D, The Manor, Khu đô thị mới Mỹ Đình Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội.",,https://batdongsan.vn/minhphu99919-174819
442,"
														1.4 tỷ																											",140,,,,, 80843, 10:15 23/04/2022,"- Diện tích : 140m2
*Tiện ích : 
- Đường ô tô hơn 7m vào tận đất 
- Cơ sở hạ tầng hiện đại đầy đủ tện nghi
- Cách trường học 600m
- Cách chợ Bến Tràm hơn 1km
- Cách khu du lịch suối đá bàn hơm 1km
> Giá : 1.400.000.000 (sổ hồng riêng )  
- Pháp lý : rõ ràng , minh bạch, bao tranh chấp, bao quy hoạch…. 
- Đất sạch không dính quy hoạch, xây dựng tự do, bao tranh chấp ,….
Liên hệ : 0963 628 953 (gặp Ms.Ngọc)  để  biết thêm thông  tin chi tiết và sở hữu những ưu đãi hấp dẫn nhất .",Bán đất ngay trung tâm hành chính tp Phú Quốc                      Đầu tư sinh lời - Thuận lợi thanh khoản,https://batdongsan.vn/ban-dat-ngay-trung-tam-hanh-chinh-tp-phu-quoc-dau-tu-sinh-loi-thuan-loi-thanh-khoan-r80843
443,"
														19 tỷ																											",154,15,10," Dự án Regal Maison Phú Yên, Đường Hùng Vương, Xã Bình Kiến, Tuy Hòa, Phú Yên",, 63218, 17:25 02/03/2022,"- Vị trí nằm ngay mặt tiền đường Hùng Vương 42m huyết mạch liên kết tuyến đường 1A kết nối với Sân bay Tuy Hòa Phú Yên. 
- Thông tin shophouse. 
+ Căn đơn: 154m2 (7*22m). 
+ Căn góc: 190 210 m2. 
+ Xây dựng: 5 tầng, tầng 1 thông tầng. 
+ Kiến trúc tân cổ điển, lâu đài. 
+ Pháp lý: Đã có sổ hồng, sở hữu vĩnh viễn. 
- Ưu đãi. 
+ Chiết khấu lên đến 15%. 
+ Thanh toán 30% nhận nhà 5 tầng cao 21m (Đưa vào hoạt động kinh doanh ngay). 
+ Hỗ trợ trả theo tiến độ lên đến 3 năm. (Mỗi đợt thanh toán 5%). 
+ Ngân hàng hỗ trợ vay lên đến 60% (0% lãi suất 2 năm). 
(Ân hạn nợ gốc 24 tháng, hỗ trợ vay 35 năm). 

Kiến trúc châu âu đạt chuẩn 5 sao nên nội ngoại thất sẽ chiều lòng những vị khách khó tính nhất. 
Tiện ích nội ngoại khu: Đất xanh Group đang triển khai các dịch vụ Regal Food, coffee Trung Nguyên siêu thị Mini, Gym, Yoga để hỗ trợ khách hàng tốt nhất. Một điểm đến cả nhà vui. 
Regal Maison nằm trên đại lộ Hùng Vương tuyến đường huyết mạch của TP Tuy Hoà cách biển 100m. 
Cách quảng trường, công viên, bệnh viện, ga tàu và các trụ sở ngân hàng 5p. Sân bay 10p. 
Sau 1 thời gian ảnh hưởng bởi dịch covid thì ngành du lịch khu vực Miền Trung và đặc biệt là Phú Yên sẽ quay trở lại mạnh mẽ trong thời gian tới. 

- Liên hệ: Ms. Dương Hiền: 0911570789. 
- Thuộc chủ đầu tư Đất Xanh Miền Trung.","Mở bán 55 căn Shophouse Regal Maison, CK lên đến 20%, vay 60% lãi suất 0% 2 năm, sở hữu ngay",https://batdongsan.vn/mo-ban-55-can-shophouse-regal-maison-ck-len-den-20-vay-60-lai-suat-0-2-nam-so-huu-ngay-r63218
444,"
														7 triệu														/tháng													",55,2,," Dự án Vinhomes Smart City, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",, 77583, 16:53 09/03/2022,"0945045270 chính chủ cho thuê và bán cắt lỗ căn hộ tại Vinhomes Smart City Tây Mỗ, Nam Từ Liêm, HN. 
Căn 30m2, Studio có điều hoà 4tr - 4.5tr/tháng, đồ cơ bản gỗ 5.5tr, full đồ 5.5-6.5tr/tháng. 
Căn 43m2, 1pn + 1 có điều hoà 5tr - 5.5/tháng, full đồ 7.5tr - 8tr. 
Căn 55m2, 2PN, 1VS, có điều hoà 5.8-6tr/tháng, đồ cơ bản 7tr/tháng, full đồ 8 - 8,5tr. 
Căn 65m2, 2pn, 2 vệ sinh, 6.5-7tr/tháng, đồ cơ bản 8tr - 8.5tr, full đồ 10tr - 11tr. 
Căn 3PN, 2 vệ sinh 8tr có điều hòa 8tr, full đồ 10tr siêu rẻ cho thuê shophouse siêu rẻ, siêu đẹp 110m chỉ 3xtr/tháng. 
Cho thuê homestay theo ngày 599k/ngày đẹp như khách sạn 5 sao. 
Liên hệ: 0945045270 để được tư vấn, hỗ trợ miễn phí mọi thủ tục liên quan.","Chính chủ cho thuê và bán cắt lỗ căn hộ tại Vinhomes Smart, City Tây Mỗ, Nam Từ Liêm, HN",https://batdongsan.vn/chinh-chu-cho-thue-va-ban-cat-lo-can-ho-tai-vinhomes-smart-city-tay-mo-nam-tu-liem-hn-r77583
